id,doc,line_no,description_text,issue_type,classification,classification_ref,notes
ISS-0001,working/phase1/summaries/AGENTS.summary.md,36,Dual-venv requirement can confuse newcomers who only read README; consider referencing this doc elsewhere.,Env,CONFLICT,"Workflow, Releases, CI – README.md & AGENTS.md ownership (Phase 5 in migration_plan §5)","Dual-venv behavior is canonically described in ADR-0003 and AGENTS.md, but the root README.md does not yet reflect this nuance; Phase 5 Workflow/Releases/CI needs to reconcile onboarding vs. agent notes so newcomers see consistent dual-venv guidance."
ISS-0002,working/phase1/summaries/AGENTS.summary.md,37,"Some instructions (“run tests after every change”) are general best practices rather than agent-exclusive guidance, raising question of duplicate ownership.",Duplicates,CONFLICT,"Workflow, Releases, CI – AGENTS.md vs. docs/workflow-and-ci.md (migration_plan §2, §5)","AGENTS.md currently mixes agent-specific expectations with generic best practices like always running tests after changes, overlapping with planned workflow-and-ci and testing-guide content; later phases must decide whether these belong in AGENTS or standard contributor docs and dedupe accordingly."
ISS-0003,working/phase1/summaries/AGENTS.summary.md,38,No troubleshooting guidance for diverging venv states or dependency drift between `.venv` and `.venv2`.,Gaps,CONFLICT,"Workflow, Releases, CI – docs/development-setup.md & AGENTS.md (ADR-0003; migration_plan §2, §3)",ADR-0003 establishes the dual-venv strategy but does not yet provide concrete troubleshooting steps for drift between .venv and .venv2; Phase 5 workflow/development-setup work must add explicit recovery and troubleshooting procedures.
ISS-0004,working/phase1/summaries/AGENTS.summary.md,39,Manual OpenAPI regeneration remains error-prone; automation would reduce misses.,OpenAPI,RESOLVED,ADR-0004; Migration §3 (scripts/gen_openapi.py & CI enforcement),"ADR-0004 defines an AI-managed, script-centered OpenAPI regeneration workflow and the migration plan calls for centralizing schema updates via scripts/gen_openapi.py and CI checks, directly addressing the manual, error-prone regeneration risk."
ISS-0005,working/phase1/summaries/README.summary.md,43,"Setup, linting, and API-reference sections overlap with multiple `docs/to_integrate/*.md` guides—dedupe in later phases.",Duplicates,CONFLICT,Code Standards & Architecture – docs/code-style-guide.md & docs/README.md (migration_plan §2),"The migration matrix explicitly flags overlapping setup, linting, and command-reference content between README and docs/to_integrate/*, to be merged into code-style-guide, testing-guide, workflow-and-ci, and docs/README; this remains planned Phase 3–5 deduplication work rather than already executed resolution."
ISS-0006,working/phase1/summaries/README.summary.md,44,OpenAPI and health check details repeat information already kept in schema + lifecycle doc; risk of inconsistencies.,Duplicates,CONFLICT,"Code Standards & Architecture – docs/LIFECYCLE.md, docs/api.md, README.md (migration_plan §2, §4)","The plan calls out splitting lifecycle vs. API vs. overview content—moving endpoint and health-check specifics into docs/api.md and architecture.md while keeping lifecycle details in docs/LIFECYCLE.md—because current duplication across README, LIFECYCLE, and schema remains a red flag to be resolved in future phases."
ISS-0007,working/phase1/summaries/README.summary.md,45,"No explicit mention of dual-venv nuance described in `AGENTS.md`, so new contributors may miss important context.",Env,CONFLICT,"Workflow, Releases, CI – README.md & docs/development-setup.md (ADR-0003; migration_plan §2, §5)","ADR-0003 and AGENTS.md define the dual-venv model but the root README does not yet highlight this, leaving a documentation gap for new contributors; the migration plan schedules README and development-setup refreshes to surface dual-venv behavior, so this remains an open alignment task."
ISS-0008,working/phase1/summaries/README.summary.md,46,"“Future steps” blur current vs planned capabilities, potentially misleading readers about what exists today.",Staleness,CONFLICT,"Workflow, Releases, CI – README.md & docs/README.md (migration_plan §2, §6)","The migration plan notes that README and docs/README will be refreshed in a later ‘hygiene’ phase once the new docs IA is in place; until that work is done, forward-looking “future steps” content risks drifting from reality and needs to be tightened to reflect only current capabilities."
ISS-0009,working/phase1/summaries/docs/LIFECYCLE.summary.md,40,Heavy dependence on future Phase 2 work increases staleness risk if not promptly updated.,Staleness,CONFLICT,"Code Standards & Architecture & Workflow, Releases, CI – docs/LIFECYCLE.md tied to future Phase 2+ work (migration_plan §4, §5, §6)","LIFECYCLE.md is scheduled for refocus and splitting into architecture/api/lifecycle targets once later phases land, but currently leans on not-yet-completed Phase 2+ changes; this dependency on future work is a known red flag the migration plan tracks rather than something already fixed."
ISS-0010,working/phase1/summaries/docs/LIFECYCLE.summary.md,41,Health check guidance overlaps with README and schema docs; divergence likely without consolidation.,Health,CONFLICT,Code Standards & Architecture – docs/LIFECYCLE.md vs. README.md & OpenAPI schema (migration_plan §2 ‘API and Architecture group’),"The migration plan’s API and Architecture red-flag section explicitly calls out conflicting health-endpoint guidance across LIFECYCLE, API-pattern docs, and schema; consolidating under docs/api.md and an updated LIFECYCLE is planned but not yet executed, so divergence risk remains to be resolved by the Code Standards & Architecture theme."
